题目ID,题型,原答案,建议答案,状态,备注
minsu-152,多选,ABCD,A,需人工,逐项推导与答案字段冲突
minsu-153,多选,AD,B,需人工,逐项推导与答案字段冲突
minsu-154,单选,A,BCD,需人工,逐项推导与答案字段冲突
minsu-001,多选,BC,,跳过,无强结论且逐项推导不可信
minsu-003,多选,CD,,跳过,无强结论且逐项推导不可信
minsu-004,单选,D,,跳过,无强结论且逐项推导不可信
minsu-006,多选,ABD,ABD,跳过,负面题否定陈述与结论不符
minsu-009,多选,BC,,跳过,无强结论且逐项推导不可信
minsu-013,多选,BC,BC,跳过,负面题否定陈述与结论不符
minsu-014,单选,D,,跳过,无强结论且逐项推导不可信
minsu-015,多选,AC,,跳过,无强结论且逐项推导不可信
minsu-016,单选,C,,跳过,无强结论且逐项推导不可信
minsu-019,单选,C,,跳过,无强结论且逐项推导不可信
minsu-022,多选,ABCD,,跳过,无强结论且逐项推导不可信
minsu-025,多选,AB,,跳过,无强结论且逐项推导不可信
minsu-032,多选,CD,,跳过,无强结论且逐项推导不可信
minsu-034,单选,B,,跳过,无强结论且逐项推导不可信
minsu-036,多选,ABC,,跳过,无强结论且逐项推导不可信
minsu-042,多选,BD,,跳过,无强结论且逐项推导不可信
minsu-045,多选,BCD,,跳过,无强结论且逐项推导不可信
minsu-046,单选,D,,跳过,无强结论且逐项推导不可信
minsu-047,多选,ABCD,,跳过,无强结论且逐项推导不可信
minsu-052,多选,ABC,,跳过,无强结论且逐项推导不可信
minsu-053,单选,C,,跳过,无强结论且逐项推导不可信
minsu-054,单选,D,,跳过,无强结论且逐项推导不可信
minsu-055,单选,D,,跳过,无强结论且逐项推导不可信
minsu-058,多选,BCD,,跳过,无强结论且逐项推导不可信
minsu-061,单选,B,,跳过,无强结论且逐项推导不可信
minsu-072,单选,A,A,跳过,负面题否定陈述与结论不符
minsu-074,单选,B,,跳过,无强结论且逐项推导不可信
minsu-077,单选,C,,跳过,无强结论且逐项推导不可信
minsu-078,单选,C,,跳过,无强结论且逐项推导不可信
minsu-083,多选,AC,,跳过,无强结论且逐项推导不可信
minsu-101,单选,C,,跳过,无强结论且逐项推导不可信
minsu-102,单选,B,,跳过,无强结论且逐项推导不可信
minsu-104,多选,BC,,跳过,无强结论且逐项推导不可信
minsu-110,单选,C,,跳过,无强结论且逐项推导不可信
minsu-116,多选,AC,,跳过,无强结论且逐项推导不可信
minsu-118,单选,C,C,跳过,结论含被判错选项
minsu-119,单选,C,,跳过,无强结论且逐项推导不可信
minsu-120,多选,ACD,,跳过,无强结论且逐项推导不可信
minsu-128,多选,ABD,,跳过,无强结论且逐项推导不可信
minsu-134,多选,AD,,跳过,无强结论且逐项推导不可信
minsu-136,多选,AC,,跳过,无强结论且逐项推导不可信
minsu-137,单选,D,,跳过,无强结论且逐项推导不可信
minsu-140,多选,AC,,跳过,无强结论且逐项推导不可信
minsu-143,单选,D,,跳过,无强结论且逐项推导不可信
minsu-144,多选,BD,,跳过,无强结论且逐项推导不可信
minsu-151,单选,C,,跳过,无强结论且逐项推导不可信
minsu-156,多选,CD,,跳过,无强结论且逐项推导不可信
