题目ID,题型,原答案,建议答案,状态,备注
lilun-263,单选,B,,跳过,无强结论且逐项推导不可信
lilun-271,单选,B,,跳过,无强结论且逐项推导不可信
lilun-273,单选,D,,跳过,无强结论且逐项推导不可信
lilun-284,多选,ABC,,跳过,无强结论且逐项推导不可信
lilun-298,多选,ACD,,跳过,无强结论且逐项推导不可信
lilun-299,单选,B,,跳过,无强结论且逐项推导不可信
lilun-300,单选,A,,跳过,无强结论且逐项推导不可信
lilun-310,单选,A,,跳过,无强结论且逐项推导不可信
lilun-318,单选,D,,跳过,无强结论且逐项推导不可信
lilun-335,多选,ABD,,跳过,无强结论且逐项推导不可信
lilun-346,多选,ABD,,跳过,无强结论且逐项推导不可信
lilun-364,多选,AB,,跳过,无强结论且逐项推导不可信
lilun-370,单选,C,,跳过,无强结论且逐项推导不可信
lilun-409,多选,ACD,,跳过,无强结论且逐项推导不可信
lilun-410,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-412,多选,BCD,,跳过,无强结论且逐项推导不可信
lilun-418,多选,AC,,跳过,无强结论且逐项推导不可信
lilun-419,单选,A,,跳过,无强结论且逐项推导不可信
lilun-429,单选,C,,跳过,无强结论且逐项推导不可信
lilun-433,多选,CD,,跳过,无强结论且逐项推导不可信
lilun-434,单选,D,,跳过,无强结论且逐项推导不可信
lilun-446,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-474,单选,D,,跳过,无强结论且逐项推导不可信
lilun-494,单选,B,,跳过,无强结论且逐项推导不可信
lilun-502,多选,ABD,,跳过,无强结论且逐项推导不可信
lilun-524,单选,C,,跳过,无强结论且逐项推导不可信
lilun-542,单选,D,,跳过,无强结论且逐项推导不可信
lilun-544,多选,AD,,跳过,无强结论且逐项推导不可信
lilun-546,多选,ABCD,,跳过,无强结论且逐项推导不可信
lilun-547,多选,ABC,,跳过,无强结论且逐项推导不可信
lilun-558,单选,D,,跳过,无强结论且逐项推导不可信
lilun-581,单选,D,,跳过,无强结论且逐项推导不可信
lilun-586,多选,ABD,,跳过,无强结论且逐项推导不可信
lilun-594,单选,B,,跳过,无强结论且逐项推导不可信
lilun-596,多选,ABCD,,跳过,无强结论且逐项推导不可信
