科目,题目ID,题型,原答案,建议答案,状态,备注
理论法,lilun-315,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-320,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-322,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-336,多选,BCD,A,需人工,逐项推导与答案字段冲突
理论法,lilun-353,多选,ABCD,ACD,需人工,逐项推导与答案字段冲突
理论法,lilun-361,多选,BCD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-366,多选,ABD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-368,多选,ABD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-371,多选,ABCD,BCD,需人工,逐项推导与答案字段冲突
理论法,lilun-377,多选,AB,B,需人工,逐项推导与答案字段冲突
理论法,lilun-380,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-388,多选,ABC,AC,需人工,逐项推导与答案字段冲突
理论法,lilun-389,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-394,单选,D,C,需人工,逐项推导与答案字段冲突
理论法,lilun-398,多选,AC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-399,多选,ABC,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-401,多选,AB,B,需人工,逐项推导与答案字段冲突
理论法,lilun-402,多选,BC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-405,单选,B,D,需人工,逐项推导与答案字段冲突
理论法,lilun-407,多选,AC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-413,多选,ABC,AC,需人工,逐项推导与答案字段冲突
理论法,lilun-415,多选,AB,B,需人工,逐项推导与答案字段冲突
理论法,lilun-424,多选,ACD,CD,需人工,逐项推导与答案字段冲突
理论法,lilun-425,多选,BCD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-426,多选,BD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-431,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-460,多选,ABD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-461,多选,ABCD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-477,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-487,多选,ABD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-505,多选,CD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-509,多选,ACD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-511,单选,D,ABC,需人工,逐项推导与答案字段冲突
理论法,lilun-514,多选,ABC,C,需人工,逐项推导与答案字段冲突
理论法,lilun-531,多选,ABD,BD,需人工,逐项推导与答案字段冲突
理论法,lilun-532,多选,BCD,CD,需人工,逐项推导与答案字段冲突
理论法,lilun-533,多选,ABC,B,需人工,逐项推导与答案字段冲突
理论法,lilun-543,多选,AD,BC,需人工,逐项推导与答案字段冲突
理论法,lilun-572,多选,ABD,D,需人工,逐项推导与答案字段冲突
理论法,lilun-593,多选,BC,AD,需人工,逐项推导与答案字段冲突
行政法,xingzheng-010,单选,A,CD,需人工,逐项推导与答案字段冲突
行政法,xingzheng-088,多选,CD,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-089,单选,C,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-109,多选,BCD,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-142,多选,AD,ACD,需人工,逐项推导与答案字段冲突
行政法,xingzheng-161,多选,BD,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-162,多选,BD,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-163,单选,A,AD,需人工,逐项推导与答案字段冲突
行政法,xingzheng-164,多选,AD,C,需人工,逐项推导与答案字段冲突
行政法,xingzheng-165,单选,C,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-218,单选,C,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-279,单选,A,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-292,任选题,CD,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-300,单选,D,ABC,需人工,逐项推导与答案字段冲突
行政法,xingzheng-301,单选,C,ABC,需人工,逐项推导与答案字段冲突
行政法,xingzheng-302,多选,BC,ABC,需人工,逐项推导与答案字段冲突
行政法,xingzheng-310,多选,AB,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-317,单选,A,AB,需人工,逐项推导与答案字段冲突
行政法,xingzheng-345,多选,ABC,CD,需人工,逐项推导与答案字段冲突
行政法,xingzheng-365,单选,C,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-366,任选题,AD,A,需人工,逐项推导与答案字段冲突
行政法,xingzheng-392,多选,ABD,C,需人工,逐项推导与答案字段冲突
行政法,xingzheng-405,多选,AD,B,需人工,逐项推导与答案字段冲突
行政法,xingzheng-411,单选,C,AC,需人工,逐项推导与答案字段冲突
