题目ID,题型,原答案,建议答案,状态,备注
sjjz-121,多选,AC,AC,跳过,结论含被判错选项
sjjz-126,单选,无答案,,跳过,答案字段为空
sjjz-132,多选,CD,CD,跳过,负面题否定陈述与结论不符
sjjz-133,单选,B,B,跳过,结论含被判错选项
sjjz-136,多选,ACD,ACD,跳过,结论含被判错选项
sjjz-138,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-139,多选,ABD,ABD,跳过,结论含被判错选项
sjjz-143,单选,A,A,跳过,结论含被判错选项
sjjz-144,多选,BC,BC,跳过,负面题否定陈述与结论不符
sjjz-147,单选,A,A,跳过,负面题否定陈述与结论不符
sjjz-151,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-153,单选,D,D,跳过,结论含被判错选项
sjjz-166,多选,AD,AD,跳过,负面题否定陈述与结论不符
sjjz-170,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-172,多选,CD,CD,跳过,负面题否定陈述与结论不符
sjjz-184,多选,AB,AB,跳过,结论含被判错选项
sjjz-187,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-211,多选,ACD,ACD,跳过,结论含被判错选项
sjjz-217,多选,CD,CD,跳过,负面题否定陈述与结论不符
sjjz-219,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-224,多选,ABC,ABC,跳过,负面题否定陈述与结论不符
sjjz-234,多选,BCD,BCD,跳过,结论含被判错选项
sjjz-238,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-242,多选,BCD,BCD,跳过,结论含被判错选项
sjjz-243,多选,ACD,ACD,跳过,结论含被判错选项
sjjz-247,多选,BCD,BCD,跳过,结论含被判错选项
sjjz-251,单选,A,A,跳过,结论含被判错选项
sjjz-252,多选,AD,AD,跳过,结论含被判错选项
sjjz-255,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-259,单选,A,A,跳过,负面题否定陈述与结论不符
sjjz-269,多选,ACD,ACD,跳过,负面题否定陈述与结论不符
sjjz-272,多选,CD,CD,跳过,结论含被判错选项
sjjz-274,单选,B,B,跳过,负面题否定陈述与结论不符
sjjz-276,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-280,多选,AD,AD,跳过,负面题否定陈述与结论不符
sjjz-290,多选,ACD,ACD,跳过,负面题否定陈述与结论不符
sjjz-292,单选,A,A,跳过,负面题否定陈述与结论不符
sjjz-293,单选,B,B,跳过,负面题否定陈述与结论不符
sjjz-299,多选,ABD,ABD,跳过,结论含被判错选项
sjjz-305,单选,B,B,跳过,负面题否定陈述与结论不符
sjjz-313,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-315,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-316,多选,CD,CD,跳过,结论含被判错选项
sjjz-318,单选,D,D,跳过,结论含被判错选项
sjjz-319,多选,ABCD,ABC,跳过,明确当选选项不在结论
sjjz-321,多选,AD,AD,跳过,结论含被判错选项
sjjz-325,多选,AD,AD,跳过,结论含被判错选项
sjjz-329,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-342,多选,AC,AC,跳过,结论含被判错选项
sjjz-345,多选,BCD,BCD,跳过,结论含被判错选项
sjjz-347,单选,A,A,跳过,结论含被判错选项
sjjz-355,多选,ACD,ACD,跳过,结论含被判错选项
sjjz-365,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-366,单选,C,C,跳过,结论含被判错选项
sjjz-367,多选,ABC,ABC,跳过,负面题否定陈述与结论不符
sjjz-371,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-379,单选,D,D,跳过,结论含被判错选项
sjjz-380,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-394,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-407,单选,C,C,跳过,负面题否定陈述与结论不符
sjjz-409,多选,ABC,ABC,跳过,结论含被判错选项
sjjz-417,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-418,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-419,多选,ABCD,ABCD,跳过,结论含被判错选项
sjjz-420,多选,ABD,ABD,跳过,结论含被判错选项
sjjz-436,多选,AC,AC,跳过,负面题否定陈述与结论不符
sjjz-438,单选,D,D,跳过,负面题否定陈述与结论不符
sjjz-441,多选,BD,BD,跳过,负面题否定陈述与结论不符
sjjz-446,多选,BC,BC,跳过,负面题否定陈述与结论不符
sjjz-455,单选,C,C,跳过,结论含被判错选项
sjjz-460,多选,ABCD,ABCD,跳过,结论含被判错选项
