题目ID,题型,原答案,新答案(或解析结论),状态,备注
xingzheng-110,多选,BCD,B,已修改,字段→解析结论
xingzheng-112,多选,AB,BCD,已修改,字段→解析结论
xingzheng-113,多选,BCD,CD,已修改,字段→解析结论
xingzheng-115,多选,CD,ABC,已修改,字段→解析结论
xingzheng-116,多选,ABC,B,已修改,字段→解析结论
xingzheng-119,多选,ABD,CD,已修改,字段→解析结论
xingzheng-120,多选,CD,AC,已修改,字段→解析结论
xingzheng-121,多选,AC,D,已修改,字段→解析结论
xingzheng-125,任选题,D,A,已修改,字段→解析结论
xingzheng-128,任选题,BD,C,已修改,字段→解析结论
xingzheng-132,多选,CD,B,已修改,字段→解析结论
xingzheng-133,单选,B,D,已修改,字段→解析结论
xingzheng-136,多选,BCD,ABD,已修改,字段→解析结论
xingzheng-138,多选,ABC,ABD,已修改,字段→解析结论
xingzheng-145,多选,AC,AB,已修改,字段→解析结论
xingzheng-147,多选,AB,ABC,已修改,字段→解析结论
xingzheng-148,多选,ABC,ABD,已修改,字段→解析结论
xingzheng-149,多选,ABD,ABCD,已修改,字段→解析结论
xingzheng-150,多选,ABCD,ACD,已修改,字段→解析结论
xingzheng-153,多选,ACD,C,已修改,字段→解析结论
xingzheng-157,多选,AC,C,已修改,字段→解析结论
xingzheng-167,多选,BC,BCD,已修改,字段→解析结论
xingzheng-168,多选,BCD,ABCD,已修改,字段→解析结论
xingzheng-169,多选,ABCD,A,已修改,字段→解析结论
xingzheng-170,单选,D,A,已修改,字段→解析结论
xingzheng-173,多选,ACD,AB,已修改,字段→解析结论
xingzheng-175,多选,AB,CD,已修改,字段→解析结论
xingzheng-176,多选,CD,A,已修改,字段→解析结论
xingzheng-180,多选,CD,D,已修改,字段→解析结论
xingzheng-182,单选,D,C,已修改,字段→解析结论
xingzheng-183,任选题,C,A,已修改,字段→解析结论
xingzheng-184,任选题,BC,A,已修改,字段→解析结论
xingzheng-185,单选,A,C,已修改,字段→解析结论
xingzheng-188,单选,D,A,已修改,字段→解析结论
xingzheng-192,多选,CD,B,已修改,字段→解析结论
xingzheng-194,多选,BC,AC,已修改,字段→解析结论
xingzheng-197,多选,ACD,BC,已修改,字段→解析结论
xingzheng-199,多选,BC,B,已修改,字段→解析结论
xingzheng-203,任选题,AC,CD,已修改,字段→解析结论
xingzheng-204,多选,ACD,CD,已修改,字段→解析结论
xingzheng-207,多选,ABC,C,已修改,字段→解析结论
xingzheng-209,多选,BD,ACD,已修改,字段→解析结论
xingzheng-210,多选,ACD,A,已修改,字段→解析结论
xingzheng-211,多选,AD,A,已修改,字段→解析结论
xingzheng-213,任选题,AD,C,已修改,字段→解析结论
xingzheng-214,任选题,C,BCD,已修改,字段→解析结论
xingzheng-216,单选,D,C,已修改,字段→解析结论
xingzheng-217,任选题,A,C,已修改,字段→解析结论
xingzheng-222,多选,BCD,BD,已修改,字段→解析结论
xingzheng-224,任选题,BD,BC,已修改,字段→解析结论
xingzheng-226,多选,BC,A,已修改,字段→解析结论
xingzheng-227,任选题,A,ACD,已修改,字段→解析结论
xingzheng-228,多选,ACD,B,已修改,字段→解析结论
xingzheng-230,多选,AC,BCD,已修改,字段→解析结论
xingzheng-232,多选,CD,BC,已修改,字段→解析结论
xingzheng-238,多选,BD,AC,已修改,字段→解析结论
xingzheng-240,多选,AC,C,已修改,字段→解析结论
xingzheng-241,任选题,CD,C,已修改,字段→解析结论
xingzheng-244,多选,ABD,A,已修改,字段→解析结论
xingzheng-245,单选,A,D,已修改,字段→解析结论
xingzheng-246,任选题,ACD,D,已修改,字段→解析结论
xingzheng-250,多选,BC,B,已修改,字段→解析结论
xingzheng-255,多选,ABC,BD,已修改,字段→解析结论
xingzheng-256,多选,CD,BD,已修改,字段→解析结论
xingzheng-257,多选,BD,BCD,已修改,字段→解析结论
xingzheng-258,多选,BCD,ABC,已修改,字段→解析结论
xingzheng-259,任选题,ABC,BCD,已修改,字段→解析结论
xingzheng-260,任选题,BCD,BD,已修改,字段→解析结论
xingzheng-264,多选,AB,ACD,已修改,字段→解析结论
xingzheng-265,任选题,ACD,BD,已修改,字段→解析结论
xingzheng-266,任选题,BD,A,已修改,字段→解析结论
xingzheng-267,单选,C,A,已修改,字段→解析结论
xingzheng-269,任选题,AB,ABCD,已修改,字段→解析结论
xingzheng-270,多选,ABCD,BC,已修改,字段→解析结论
xingzheng-271,任选题,BC,CD,已修改,字段→解析结论
xingzheng-272,多选,CD,AC,已修改,字段→解析结论
xingzheng-281,任选题,B,AC,已修改,字段→解析结论
xingzheng-284,单选,A,D,已修改,字段→解析结论
xingzheng-287,多选,BC,AB,已修改,字段→解析结论
xingzheng-288,多选,AB,B,已修改,字段→解析结论
xingzheng-290,任选题,AD,C,已修改,字段→解析结论
xingzheng-294,多选,ACD,AD,已修改,字段→解析结论
xingzheng-295,任选题,BCD,AD,已修改,字段→解析结论
xingzheng-296,任选题,AD,AC,已修改,字段→解析结论
xingzheng-297,多选,AC,CD,已修改,字段→解析结论
xingzheng-303,多选,ABC,A,已修改,字段→解析结论
xingzheng-305,多选,AD,CD,已修改,字段→解析结论
xingzheng-306,多选,CD,AD,已修改,字段→解析结论
xingzheng-307,多选,AD,B,已修改,字段→解析结论
xingzheng-319,多选,BCD,A,已修改,字段→解析结论
xingzheng-320,多选,ACD,A,已修改,字段→解析结论
xingzheng-321,多选,BC,A,已修改,字段→解析结论
xingzheng-330,多选,CD,D,已修改,字段→解析结论
xingzheng-332,多选,AB,BC,已修改,字段→解析结论
xingzheng-334,多选,AB,B,已修改,字段→解析结论
xingzheng-335,多选,AD,B,已修改,字段→解析结论
xingzheng-336,任选题,B,BCD,已修改,字段→解析结论
xingzheng-338,多选,BCD,C,已修改,字段→解析结论
xingzheng-339,单选,B,C,已修改,字段→解析结论
xingzheng-341,多选,AD,AB,已修改,字段→解析结论
xingzheng-342,多选,AD,AB,已修改,字段→解析结论
xingzheng-343,多选,AB,C,已修改,字段→解析结论
xingzheng-346,多选,BCD,D,已修改,字段→解析结论
xingzheng-347,多选,AB,D,已修改,字段→解析结论
xingzheng-353,多选,BD,ABD,已修改,字段→解析结论
xingzheng-356,多选,ABD,D,已修改,字段→解析结论
xingzheng-358,多选,ABC,BCD,已修改,字段→解析结论
xingzheng-360,任选题,BCD,BC,已修改,字段→解析结论
xingzheng-370,多选,BCD,B,已修改,字段→解析结论
xingzheng-371,任选题,C,B,已修改,字段→解析结论
xingzheng-373,多选,AC,AB,已修改,字段→解析结论
xingzheng-374,任选题,AB,ABD,已修改,字段→解析结论
xingzheng-375,任选题,ABD,B,已修改,字段→解析结论
xingzheng-376,任选题,B,ABD,已修改,字段→解析结论
xingzheng-377,多选,ABD,ABC,已修改,字段→解析结论
xingzheng-380,任选题,ABC,AB,已修改,字段→解析结论
xingzheng-381,任选题,ABC,AB,已修改,字段→解析结论
xingzheng-382,多选,AB,AC,已修改,字段→解析结论
xingzheng-384,多选,AC,AD,已修改,字段→解析结论
xingzheng-385,多选,BCD,AD,已修改,字段→解析结论
xingzheng-386,多选,AD,A,已修改,字段→解析结论
xingzheng-387,多选,AB,A,已修改,字段→解析结论
xingzheng-388,多选,AD,A,已修改,字段→解析结论
xingzheng-389,单选,A,C,已修改,字段→解析结论
xingzheng-390,单选,C,B,已修改,字段→解析结论
xingzheng-393,多选,BCD,AB,已修改,字段→解析结论
xingzheng-395,多选,AC,AB,已修改,字段→解析结论
xingzheng-396,多选,AB,A,已修改,字段→解析结论
xingzheng-398,任选题,BC,C,已修改,字段→解析结论
xingzheng-400,多选,ABC,B,已修改,字段→解析结论
xingzheng-403,多选,AB,A,已修改,字段→解析结论
xingzheng-406,多选,BC,B,已修改,字段→解析结论
xingzheng-409,任选题,B,C,已修改,字段→解析结论
xingzheng-410,任选题,A,C,已修改,字段→解析结论
xingzheng-415,多选,ACD,ABD,已修改,字段→解析结论
xingzheng-416,多选,ABD,AB,已修改,字段→解析结论
xingzheng-417,多选,AB,D,已修改,字段→解析结论
xingzheng-419,多选,AB,D,已修改,字段→解析结论
xingzheng-422,多选,AC,D,已修改,字段→解析结论
xingzheng-424,多选,BCD,A,已修改,字段→解析结论
xingzheng-425,单选,A,C,已修改,字段→解析结论
xingzheng-427,多选,AC,AD,已修改,字段→解析结论
xingzheng-428,多选,AD,D,已修改,字段→解析结论
xingzheng-429,单选,D,A,已修改,字段→解析结论
xingzheng-431,多选,AB,D,已修改,字段→解析结论
xingzheng-002,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-006,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-009,多选,AC,A,跳过,明确当选选项不在结论
xingzheng-010,单选,A,,跳过,无强结论模式
xingzheng-011,单选,A,,跳过,无强结论模式
xingzheng-015,单选,C,,跳过,无强结论模式
xingzheng-018,单选,D,BC,跳过,单选但结论多字母(误提取)
xingzheng-019,任选题,BC,B,跳过,结论含被判错选项
xingzheng-021,单选,A,A,跳过,结论含被判错选项
xingzheng-022,单选,A,BCD,跳过,单选但结论多字母(误提取)
xingzheng-024,单选,B,,跳过,无强结论模式
xingzheng-026,单选,D,C,跳过,负面题否定陈述与结论不符
xingzheng-027,单选,C,ABD,跳过,单选但结论多字母(误提取)
xingzheng-028,任选题,ABD,C,跳过,负面题否定陈述与结论不符
xingzheng-029,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-032,多选,BC,,跳过,无强结论模式
xingzheng-033,单选,A,,跳过,无强结论模式
xingzheng-034,多选,BD,,跳过,无强结论模式
xingzheng-035,多选,AB,,跳过,无强结论模式
xingzheng-037,单选,A,D,跳过,结论含被判错选项
xingzheng-038,单选,D,AC,跳过,单选但结论多字母(误提取)
xingzheng-039,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-047,单选,A,BC,跳过,单选但结论多字母(误提取)
xingzheng-048,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-050,单选,B,ACD,跳过,单选但结论多字母(误提取)
xingzheng-055,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-056,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-061,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-063,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-065,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-073,单选,C,CD,跳过,单选但结论多字母(误提取)
xingzheng-074,多选,CD,CD,跳过,结论含被判错选项
xingzheng-076,多选,ABC,AB,跳过,负面题否定陈述与结论不符
xingzheng-078,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-079,多选,AC,ACD,跳过,结论含被判错选项
xingzheng-080,多选,ACD,ABCD,跳过,结论含被判错选项
xingzheng-081,多选,ABCD,BC,跳过,负面题否定陈述与结论不符
xingzheng-084,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-085,单选,B,BCD,跳过,单选但结论多字母(误提取)
xingzheng-087,任选题,BCD,,跳过,无强结论模式
xingzheng-088,多选,CD,,跳过,无强结论模式
xingzheng-089,单选,C,,跳过,无强结论模式
xingzheng-092,多选,ABC,ABC,跳过,结论含被判错选项
xingzheng-097,单选,B,ABC,跳过,单选但结论多字母(误提取)
xingzheng-105,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-108,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-109,多选,BCD,,跳过,无强结论模式
xingzheng-111,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-117,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-118,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-122,单选,D,,跳过,无强结论模式
xingzheng-123,单选,B,,跳过,无强结论模式
xingzheng-124,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-127,单选,A,BD,跳过,单选但结论多字母(误提取)
xingzheng-129,单选,C,,跳过,无强结论模式
xingzheng-134,单选,D,ABD,跳过,单选但结论多字母(误提取)
xingzheng-135,任选题,ABD,BCD,跳过,结论含被判错选项
xingzheng-139,多选,ABD,A,跳过,结论含被判错选项
xingzheng-140,单选,A,ABD,跳过,单选但结论多字母(误提取)
xingzheng-141,多选,ABD,,跳过,无强结论模式
xingzheng-142,多选,AD,,跳过,无强结论模式
xingzheng-143,多选,ACD,,跳过,无强结论模式
xingzheng-144,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-146,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-151,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-152,多选,ACD,D,跳过,结论含被判错选项
xingzheng-154,单选,C,D,跳过,结论含被判错选项
xingzheng-155,单选,D,AC,跳过,单选但结论多字母(误提取)
xingzheng-158,多选,ABD,C,跳过,负面题否定陈述与结论不符
xingzheng-159,单选,B,C,跳过,结论含被判错选项
xingzheng-160,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-161,多选,BD,,跳过,无强结论模式
xingzheng-162,多选,BD,,跳过,无强结论模式
xingzheng-163,单选,A,,跳过,无强结论模式
xingzheng-164,多选,AD,,跳过,无强结论模式
xingzheng-165,单选,C,,跳过,无强结论模式
xingzheng-166,多选,AC,,跳过,无强结论模式
xingzheng-171,单选,A,AC,跳过,单选但结论多字母(误提取)
xingzheng-172,多选,AC,ACD,跳过,负面题否定陈述与结论不符
xingzheng-177,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-178,多选,AD,A,跳过,结论含被判错选项
xingzheng-179,单选,A,D,跳过,负面题否定陈述与结论不符
xingzheng-186,单选,C,ABCD,跳过,单选但结论多字母(误提取)
xingzheng-187,任选题,ABCD,D,跳过,结论含被判错选项
xingzheng-189,单选,A,A,跳过,负面题否定陈述与结论不符
xingzheng-191,单选,B,CD,跳过,单选但结论多字母(误提取)
xingzheng-193,单选,B,BC,跳过,单选但结论多字母(误提取)
xingzheng-195,多选,AD,AC,跳过,负面题否定陈述与结论不符
xingzheng-196,多选,AC,,跳过,无强结论模式
xingzheng-198,多选,BCD,BC,跳过,负面题否定陈述与结论不符
xingzheng-200,任选题,BCD,,跳过,无强结论模式
xingzheng-202,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-205,多选,CD,ABC,跳过,结论含被判错选项
xingzheng-206,多选,ABC,ABC,跳过,负面题否定陈述与结论不符
xingzheng-208,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-212,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-215,多选,BCD,C,跳过,负面题否定陈述与结论不符
xingzheng-218,单选,C,,跳过,无强结论模式
xingzheng-219,单选,A,,跳过,无强结论模式
xingzheng-220,任选题,D,ABC,跳过,结论含被判错选项
xingzheng-221,多选,ABC,BCD,跳过,负面题否定陈述与结论不符
xingzheng-225,单选,D,BC,跳过,单选但结论多字母(误提取)
xingzheng-229,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-231,多选,BCD,CD,跳过,负面题否定陈述与结论不符
xingzheng-233,任选题,BC,CD,跳过,结论含被判错选项
xingzheng-234,多选,CD,,跳过,无强结论模式
xingzheng-235,单选,D,,跳过,无强结论模式
xingzheng-236,单选,A,,跳过,无强结论模式
xingzheng-237,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-243,单选,C,ABD,跳过,单选但结论多字母(误提取)
xingzheng-248,单选,D,C,跳过,结论含被判错选项
xingzheng-249,单选,C,BC,跳过,单选但结论多字母(误提取)
xingzheng-251,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-252,多选,AB,ABD,跳过,结论含被判错选项
xingzheng-253,多选,ABD,BCD,跳过,负面题否定陈述与结论不符
xingzheng-254,多选,BCD,ABC,跳过,结论含被判错选项
xingzheng-261,多选,AC,,跳过,无强结论模式
xingzheng-262,多选,BD,ABCD,跳过,结论含被判错选项
xingzheng-263,多选,ABCD,AB,跳过,负面题否定陈述与结论不符
xingzheng-268,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-273,多选,AC,BD,跳过,负面题否定陈述与结论不符
xingzheng-274,多选,BD,AC,跳过,负面题否定陈述与结论不符
xingzheng-276,任选题,ABCD,,跳过,无强结论模式
xingzheng-277,单选,A,,跳过,无强结论模式
xingzheng-279,单选,A,,跳过,无强结论模式
xingzheng-280,多选,BC,,跳过,无强结论模式
xingzheng-282,多选,AC,,跳过,无强结论模式
xingzheng-283,多选,AB,,跳过,无强结论模式
xingzheng-285,单选,D,AD,跳过,单选但结论多字母(误提取)
xingzheng-286,多选,AD,AB,跳过,负面题否定陈述与结论不符
xingzheng-289,单选,B,AD,跳过,单选但结论多字母(误提取)
xingzheng-291,单选,C,CD,跳过,单选但结论多字母(误提取)
xingzheng-292,任选题,CD,,跳过,无强结论模式
xingzheng-293,单选,B,,跳过,无强结论模式
xingzheng-298,多选,CD,CD,跳过,结论含被判错选项
xingzheng-299,多选,CD,D,跳过,负面题否定陈述与结论不符
xingzheng-300,单选,D,,跳过,无强结论模式
xingzheng-301,单选,C,,跳过,无强结论模式
xingzheng-302,多选,BC,,跳过,无强结论模式
xingzheng-304,单选,A,CD,跳过,单选但结论多字母(误提取)
xingzheng-308,单选,B,,跳过,无强结论模式
xingzheng-309,单选,B,,跳过,无强结论模式
xingzheng-310,多选,AB,,跳过,无强结论模式
xingzheng-312,单选,A,ACD,跳过,单选但结论多字母(误提取)
xingzheng-313,单选,B,ACD,跳过,单选但结论多字母(误提取)
xingzheng-315,单选,D,ACD,跳过,单选但结论多字母(误提取)
xingzheng-316,多选,ACD,,跳过,无强结论模式
xingzheng-317,单选,A,,跳过,无强结论模式
xingzheng-323,单选,A,BD,跳过,单选但结论多字母(误提取)
xingzheng-324,多选,BD,ABCD,跳过,结论含被判错选项
xingzheng-325,任选题,BC,ABCD,跳过,结论含被判错选项
xingzheng-326,任选题,ABCD,D,跳过,负面题否定陈述与结论不符
xingzheng-327,单选,D,A,跳过,负面题否定陈述与结论不符
xingzheng-329,单选,A,CD,跳过,单选但结论多字母(误提取)
xingzheng-331,单选,D,AB,跳过,单选但结论多字母(误提取)
xingzheng-333,多选,BC,AB,跳过,负面题否定陈述与结论不符
xingzheng-337,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-340,单选,C,AD,跳过,单选但结论多字母(误提取)
xingzheng-344,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-345,多选,ABC,,跳过,无强结论模式
xingzheng-349,单选,D,C,跳过,负面题否定陈述与结论不符
xingzheng-350,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-352,单选,C,BD,跳过,单选但结论多字母(误提取)
xingzheng-354,多选,ABD,A,跳过,负面题否定陈述与结论不符
xingzheng-355,单选,A,ABD,跳过,单选但结论多字母(误提取)
xingzheng-357,单选,D,ABC,跳过,单选但结论多字母(误提取)
xingzheng-359,单选,C,BCD,跳过,单选但结论多字母(误提取)
xingzheng-361,多选,BC,C,跳过,负面题否定陈述与结论不符
xingzheng-362,多选,BCD,C,跳过,负面题否定陈述与结论不符
xingzheng-363,多选,ABCD,ABCD,跳过,结论含被判错选项
xingzheng-365,单选,C,,跳过,无强结论模式
xingzheng-366,任选题,AD,,跳过,无强结论模式
xingzheng-367,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-368,多选,AB,BCD,跳过,负面题否定陈述与结论不符
xingzheng-369,多选,ABCD,BCD,跳过,负面题否定陈述与结论不符
xingzheng-372,单选,B,AC,跳过,单选但结论多字母(误提取)
xingzheng-378,单选,A,ABC,跳过,单选但结论多字母(误提取)
xingzheng-379,单选,B,ABC,跳过,单选但结论多字母(误提取)
xingzheng-383,任选题,ABC,AC,跳过,负面题否定陈述与结论不符
xingzheng-391,单选,B,ABD,跳过,单选但结论多字母(误提取)
xingzheng-392,多选,ABD,,跳过,无强结论模式
xingzheng-394,多选,BCD,,跳过,无强结论模式
xingzheng-397,单选,A,BC,跳过,单选但结论多字母(误提取)
xingzheng-399,单选,C,ABC,跳过,单选但结论多字母(误提取)
xingzheng-402,单选,B,AB,跳过,单选但结论多字母(误提取)
xingzheng-404,单选,A,AD,跳过,单选但结论多字母(误提取)
xingzheng-405,多选,AD,,跳过,无强结论模式
xingzheng-407,单选,B,,跳过,无强结论模式
xingzheng-408,多选,AC,,跳过,无强结论模式
xingzheng-411,单选,C,,跳过,无强结论模式
xingzheng-412,多选,AC,,跳过,无强结论模式
xingzheng-413,单选,C,ACD,跳过,单选但结论多字母(误提取)
xingzheng-414,单选,C,,跳过,无强结论模式
xingzheng-418,单选,D,AB,跳过,单选但结论多字母(误提取)
xingzheng-420,单选,D,D,跳过,结论含被判错选项
xingzheng-423,单选,D,BCD,跳过,单选但结论多字母(误提取)
xingzheng-426,单选,C,AC,跳过,单选但结论多字母(误提取)
xingzheng-430,单选,A,AB,跳过,单选但结论多字母(误提取)
xingzheng-432,单选,D,ABC,跳过,单选但结论多字母(误提取)
xingzheng-433,多选,ABC,ABC,跳过,结论含被判错选项
xingzheng-434,任选题,ABC,ABC,跳过,结论含被判错选项
